City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Lebu,0,CL,1611665191,68,-37.6167,-73.65,14.46,8.05
1,Ushuaia,90,AR,1611665191,87,-54.8,-68.3,4.0,14.92
2,Saint Paul Harbor,1,US,1611665192,69,57.79,-152.4072,2.0,5.66
3,Puerto Ayora,65,EC,1611665192,98,-0.7393,-90.3518,23.33,3.58
4,Rikitea,0,PF,1611665193,73,-23.1203,-134.9692,26.0,6.05
5,Hobart,20,AU,1611665004,66,-42.8794,147.3294,12.22,1.03
6,Kupang,75,ID,1611665194,94,-10.1667,123.5833,26.0,1.54
7,Rognan,0,NO,1611665195,64,67.0953,15.3878,-0.56,7.72
8,Uchiza,100,PE,1611665196,79,-8.4592,-76.4633,22.47,0.26
9,Pleshanovo,100,RU,1611665196,96,52.8333,53.4833,-5.9,4.24
10,Vardø,75,NO,1611665197,74,70.3705,31.1107,-2.0,14.92
11,San Cristobal,40,VE,1611665197,83,7.7669,-72.225,22.0,1.03
12,Qaanaaq,0,GL,1611665198,66,77.484,-69.3632,-20.7,3.99
13,Kashgar,78,CN,1611665199,40,39.4547,75.9797,0.0,2.0
14,Jamestown,90,US,1611665199,86,42.097,-79.2353,0.0,5.14
15,Birin,2,NP,1611665200,77,26.8865,88.0718,7.96,1.34
16,Coromandel,92,BR,1611665000,73,-18.4733,-47.2003,23.88,4.57
17,Pisco,96,PE,1611665201,78,-13.7,-76.2167,21.0,1.54
18,Caravelas,0,BR,1611665202,58,-17.7125,-39.2481,29.1,4.6
19,Flin Flon,40,CA,1611665202,75,54.7682,-101.865,-34.0,1.03
20,Yellowknife,1,CA,1611665203,69,62.456,-114.3525,-28.89,5.66
21,Punta Arenas,40,CL,1611665204,66,-53.15,-70.9167,8.0,12.35
22,Busselton,100,AU,1611665204,76,-33.65,115.3333,16.44,3.89
23,Avarua,56,CK,1611665205,78,-21.2078,-159.775,27.2,7.65
24,Hermanus,2,ZA,1611665206,66,-34.4187,19.2345,24.44,2.24
25,Saint-Philippe,20,RE,1611665206,62,-21.3585,55.7679,30.0,4.63
26,Betsiamites,90,CA,1611665207,86,48.9413,-68.646,-1.0,1.54
27,Yaan,29,NG,1611665208,8,7.3833,8.5667,37.7,3.92
28,Pulandian,20,CN,1611665209,93,39.3953,121.9669,0.0,1.0
29,Ahipara,2,NZ,1611665209,92,-35.1667,173.1667,17.77,2.49
30,Upernavik,100,GL,1611665210,92,72.7868,-56.1549,-14.19,5.33
31,Evensk,100,RU,1611665211,83,61.95,159.2333,-14.55,7.66
32,Comodoro Rivadavia,0,AR,1611665101,36,-45.8667,-67.5,16.0,8.75
33,Butaritari,100,KI,1611665212,77,3.0707,172.7902,26.72,2.58
34,Tasiilaq,92,GL,1611665213,79,65.6145,-37.6368,-17.69,2.27
35,Benjamín Hill,6,MX,1611665213,88,30.1667,-111.1,4.44,1.34
36,Bluff,100,NZ,1611665214,56,-46.6,168.3333,21.11,4.02
37,Kaitangata,100,NZ,1611665216,55,-46.2817,169.8464,18.1,3.67
38,Porto-Novo,0,BJ,1611665087,66,6.4965,2.6036,31.0,4.12
39,Marau,59,BR,1611665217,81,-28.4492,-52.2,23.96,3.47
40,Cockburn Town,40,TC,1611665217,69,21.4612,-71.1419,24.0,5.14
41,Kapaa,90,US,1611665218,100,22.0752,-159.319,22.0,4.63
42,Bethel,90,US,1611665219,59,41.3712,-73.414,-2.78,2.06
43,Saint Anthony,90,US,1611665220,67,45.0205,-93.218,-11.67,3.09
44,Ilulissat,75,GL,1611665220,61,69.2167,-51.1,-13.0,1.03
45,Yerbogachën,78,RU,1611665221,80,61.2767,108.0108,-40.7,0.86
46,Nadadores,0,MX,1611665222,50,27.05,-101.6,12.22,0.89
47,Mahon,0,ES,1611665223,58,39.8885,4.2658,12.0,4.12
48,Pekalongan,100,ID,1611665223,10,-6.8886,109.6753,15.0,2.6
49,Aklavik,100,CA,1611665224,77,68.2191,-135.0107,-24.0,0.51
50,Thompson,90,CA,1611664967,84,55.7435,-97.8558,-23.0,2.57
51,Nikolskoye,90,RU,1611665225,93,59.7035,30.7861,2.0,5.0
52,Talnakh,100,RU,1611665226,82,69.4865,88.3972,-32.17,5.29
53,Presidente Epitácio,100,BR,1611665226,83,-21.7633,-52.1156,24.34,2.67
54,Tuatapere,100,NZ,1611665227,56,-46.1333,167.6833,21.11,4.02
55,Cape Town,20,ZA,1611664954,53,-33.9258,18.4232,25.56,13.38
56,Dicabisagan,100,PH,1611665228,86,17.0818,122.4157,24.27,3.97
57,Illora,40,ES,1611665229,77,37.2877,-3.8811,16.0,0.51
58,Ubari,2,LY,1611664938,17,26.5921,12.7805,24.7,5.86
59,Port Alfred,0,ZA,1611665231,81,-33.5906,26.891,23.89,3.13
60,Douentza,97,ML,1611665231,9,14.9951,-2.9517,32.98,5.2
61,Maricá,0,BR,1611665233,78,-22.9194,-42.8186,30.0,3.09
62,Albany,32,US,1611664953,61,42.6001,-73.9662,-6.67,0.94
63,Castro,100,BR,1611665179,85,-24.7911,-50.0119,21.48,3.59
64,Grindavik,0,IS,1611665234,54,63.8424,-22.4338,-3.0,13.89
65,Ribeira Grande,40,PT,1611665235,88,38.5167,-28.7,18.0,8.23
66,Menongue,96,AO,1611665236,57,-14.6585,17.691,26.28,2.86
67,Saldanha,0,ZA,1611665236,47,-33.0117,17.9442,26.0,11.32
68,Glamoč,75,BA,1611665238,94,44.0458,16.8486,-3.5,6.83
69,Susanville,1,US,1611665239,79,40.4163,-120.653,-12.0,1.47
70,Torbay,90,CA,1611665239,100,47.6666,-52.7314,1.11,6.69
71,Sola,90,VU,1611665240,94,-13.8833,167.55,26.0,5.14
72,Kondinskoye,100,RU,1611665241,99,59.6481,67.41,1.38,6.38
73,Katunino,90,RU,1611665241,100,64.3862,40.6298,1.0,2.0
74,Ust'-Karsk,100,RU,1611665242,88,52.7011,118.8077,-21.26,1.47
75,Khatanga,95,RU,1611665243,86,71.9667,102.5,-31.96,0.89
76,San Ramon,1,US,1611665243,75,37.7799,-121.978,2.22,1.54
77,Dikson,100,RU,1611665244,86,73.5069,80.5464,-31.54,4.59
78,Half Moon Bay,20,US,1611665246,81,37.4636,-122.4286,6.11,3.09
79,Nova Russas,83,BR,1611665011,65,-4.7067,-40.5631,28.3,3.03
80,Kloulklubed,90,PW,1611665247,83,7.0419,134.2556,27.0,4.12
81,Hithadhoo,100,MV,1611665248,85,-0.6,73.0833,25.19,4.12
82,Cabo San Lucas,33,MX,1611665249,76,22.8909,-109.9124,10.56,0.45
83,Hilo,90,US,1611665249,88,19.7297,-155.09,21.0,3.09
84,Bonavista,100,CA,1611665251,100,48.6499,-53.1147,1.11,3.09
85,Alice Springs,75,AU,1611665186,83,-23.7,133.8833,26.0,4.12
86,Esperance,40,AU,1611665252,77,-33.8667,121.9,19.0,6.69
87,Mataura,100,NZ,1611665253,56,-46.1927,168.8643,21.11,4.02
88,Mudgee,90,AU,1611665254,53,-32.5943,149.5871,26.11,2.06
89,Codrington,60,AU,1611665254,71,-38.2667,141.9667,12.32,5.07
90,New Norfolk,9,AU,1611665255,70,-42.7826,147.0587,12.22,1.78
91,Asău,100,RO,1611665256,36,46.4333,26.4,3.33,1.05
92,Vestmannaeyjar,75,IS,1611665256,64,63.4427,-20.2734,-1.0,15.43
93,Saskylakh,0,RU,1611665257,83,71.9167,114.0833,-36.14,1.08
94,Kayes,0,ML,1611665257,8,14.0,-11.0,35.82,4.78
95,Nacala,44,MZ,1611665258,65,-14.5428,40.6728,30.13,3.72
96,Kirakira,100,SB,1611665259,80,-10.4544,161.9205,27.56,4.36
97,Henderson,90,US,1611665052,93,36.0397,-114.9819,1.11,3.6
98,Bell Ville,100,AR,1611665260,74,-32.6259,-62.6887,26.11,0.89
99,Itoman,75,JP,1611665261,73,26.1247,127.6694,20.0,9.77
100,Kayerkan,100,RU,1611665261,85,69.3497,87.7602,-31.13,2.59
101,Agadez,0,NE,1611665262,12,19.75,10.25,25.73,2.15
102,Hobyo,3,SO,1611665262,66,5.3505,48.5268,26.13,9.0
103,Provideniya,2,RU,1611665263,89,64.3833,-173.3,-17.46,3.78
104,Keti Bandar,0,PK,1611665264,37,24.1447,67.4497,20.19,3.86
105,Mahébourg,20,MU,1611665169,51,-20.4081,57.7,31.0,3.6
106,Maraã,100,BR,1611665265,97,-1.8333,-65.3667,23.21,0.13
107,Great Bend,90,US,1611665077,93,38.3645,-98.7648,-7.0,7.72
108,Mount Gambier,90,AU,1611665267,76,-37.8333,140.7667,13.0,3.6
109,Sinnamary,35,GF,1611665268,85,5.3833,-52.95,26.1,5.41
110,Batemans Bay,100,AU,1611665269,95,-35.7167,150.1833,19.44,1.34
111,Fortuna,1,US,1611665269,100,40.5982,-124.1573,1.67,5.14
112,Vaini,75,TO,1611665270,94,-21.2,-175.2,25.0,2.57
113,Norman Wells,75,CA,1611665270,76,65.282,-126.8329,-26.0,1.03
114,Skibbereen,75,IE,1611665271,93,51.55,-9.2667,9.0,2.57
115,‘Ewa Beach,90,US,1611665272,88,21.3156,-158.0072,23.0,2.06
116,Tilichiki,100,RU,1611665272,90,60.4667,166.1,-22.52,5.41
117,Ancud,0,CL,1611665273,81,-41.8697,-73.8203,12.78,1.54
118,Srednekolymsk,100,RU,1611665274,81,67.45,153.6833,-36.83,3.33
119,Dwārka,0,IN,1611665275,44,22.2394,68.9678,20.73,5.34
120,Diego de Almagro,0,CL,1611665276,22,-26.3667,-70.05,22.63,1.91
121,Hong Kong,0,HK,1611665152,81,22.2855,114.1577,20.56,1.22
122,Tual,100,ID,1611665277,76,-5.6667,132.75,29.1,10.3
123,Inhambane,20,MZ,1611665277,66,-23.865,35.3833,32.0,6.69
124,Bagé,40,BR,1611665278,74,-31.3314,-54.1069,27.0,4.12
125,Richards Bay,98,ZA,1611665279,53,-28.783,32.0377,32.7,7.11
126,Longyearbyen,0,SJ,1611665279,36,78.2186,15.6401,-14.0,14.4
127,Mar del Plata,75,AR,1611665034,83,-38.0023,-57.5575,24.44,1.54
128,Ketchikan,90,US,1611665280,93,55.3422,-131.6461,-1.0,1.54
129,Grand Gaube,80,MU,1611665281,71,-20.0064,57.6608,28.33,1.79
130,Solnechnyy,100,RU,1611665282,89,50.7214,136.6319,-21.25,1.78
131,Dejen,92,ET,1611665282,16,10.1667,38.1333,25.2,3.46
132,George Town,20,MY,1611665188,74,5.4112,100.3354,29.0,3.09
133,Bredasdorp,61,ZA,1611665284,57,-34.5322,20.0403,25.0,6.69
134,Jardim,80,BR,1611665284,77,-21.4803,-56.1381,26.84,3.91
135,Hasaki,75,JP,1611665285,93,35.7333,140.8333,8.0,2.06
136,Presidencia Roque Sáenz Peña,100,AR,1611665285,95,-26.7852,-60.4388,22.22,0.89
137,Dingle,88,PH,1611665286,87,10.9995,122.6711,23.43,2.83
138,Pandamatenga,100,BW,1611665287,76,-18.5278,25.627,23.74,2.54
139,Carnarvon,0,AU,1611665287,69,-24.8667,113.6333,25.0,10.8
140,La Rioja,100,AR,1611665288,39,-29.4111,-66.8507,29.27,1.93
141,Kruisfontein,32,ZA,1611665288,49,-34.0033,24.7314,28.33,4.92
142,Tsaratanana,100,MG,1611665289,76,-16.7833,47.65,26.62,1.83
143,Āron,0,IN,1611665290,32,24.3833,77.4167,16.17,2.78
144,Lamar,1,US,1611665290,87,33.6668,-95.5836,3.0,5.14
145,Muravlenko,100,RU,1611665291,88,63.7898,74.523,-29.45,6.99
146,The Valley,40,AI,1611665085,83,18.217,-63.0578,26.67,3.6
147,Bara,64,NG,1611665292,10,10.3744,10.7288,35.92,5.07
148,Beringovskiy,99,RU,1611665293,90,63.05,179.3167,-21.49,4.46
149,Taltal,0,CL,1611665290,55,-25.4,-70.4833,21.58,2.23
150,Askino,100,RU,1611665294,97,56.0901,56.5783,-6.89,4.77
151,Oddur,0,SO,1611665295,17,4.1213,43.8894,33.06,7.17
